isShowcaseListing,longitude,timeOnZillow,zestimate,daysOnZillow,zpid,taxAssessedValue,isUnmappable,priceForHDP,dateSold,state,isFeatured,isPremierBuilder,isPreforeclosureAuction,lotAreaValue,isNonOwnerOccupied,homeStatus,latitude,lotAreaUnit,bedrooms,zipcode,homeStatusForHDP,isZillowOwned,shouldHighlight,homeType,bathrooms,rentZestimate,price,city,streetAddress,country,currency,listing_sub_type,livingArea
False,-80.430435,66446962000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
False,-79.28935,79147764000.0,,916,2083631221,,False,1930000,1632812400000,ON,False,False,False,,True,RECENTLY_SOLD,43.670135,,2.0,M4E3B4,RECENTLY_SOLD,False,False,APARTMENT,1.0,,1930000,Toronto,20 Balsam Ave,CAN,CAD,{},
False,-79.8671,,,-1,2070073103,,False,0,1626850800000,ON,False,False,False,,True,RECENTLY_SOLD,43.230705,,3.0,L9A4A4,RECENTLY_SOLD,False,False,APARTMENT,2.0,,0,Hamilton,420 E 13th St,CAN,CAD,{},809.0
False,-79.345795,85541364000.0,,990,2071864460,,False,0,1626418800000,ON,False,False,False,,True,RECENTLY_SOLD,43.77321,,1.0,M2J0E2,RECENTLY_SOLD,False,False,APARTMENT,1.0,,0,Toronto,52 Forest Manor Rd UNIT 217,CAN,CAD,{},
False,-79.39908,93144564000.0,,1078,2071606814,,False,1600,1618815600000,ON,False,False,False,,True,RECENTLY_SOLD,43.70367,,1.0,M5P1G9,FOR_RENT,False,False,MULTI_FAMILY,1.0,,1900000,Toronto,45 Berwick Ave,CAN,CAD,{},
False,-80.430435,66446966000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
False,-80.430435,66446968000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
False,-80.430435,66446970000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
False,-80.430435,66446973000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
False,-80.430435,66446975000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
False,-80.430435,66446976000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
False,-80.430435,66446978000.0,,769,2066439477,,False,540000,1645516800000,ON,False,False,False,,True,RECENTLY_SOLD,43.39764,,2.0,N2P1Z6,RECENTLY_SOLD,False,False,APARTMENT,2.0,,540000,Kitchener,55 Green Valley Dr #905,CAN,CAD,{},
