isShowcaseListing,longitude,timeOnZillow,zestimate,daysOnZillow,zpid,taxAssessedValue,isUnmappable,priceForHDP,dateSold,state,isFeatured,isPremierBuilder,isPreforeclosureAuction,lotAreaValue,isNonOwnerOccupied,homeStatus,latitude,lotAreaUnit,bedrooms,zipcode,homeStatusForHDP,isZillowOwned,shouldHighlight,homeType,bathrooms,rentZestimate,price,city,streetAddress,country,currency,listing_sub_type,livingArea
False,,62052666000,,718,2071870830,,False,430000,1650524400000,ON,False,False,False,,True,RECENTLY_SOLD,,,0,M5V1B7,RECENTLY_SOLD,False,False,CONDO,1,,430000,Toronto,600 Fleet St #409,CAN,CAD,{},
False,-79.419914,80369466000,,930,2068504642,,False,1452000,1632207600000,ON,False,False,False,,True,RECENTLY_SOLD,43.661144,,0,M6G3H2,RECENTLY_SOLD,False,False,SINGLE_FAMILY,1,,1452000,Toronto,429 Montrose Ave,CAN,CAD,{},750
False,,81319866000,,941,2071852833,,False,430000,1631257200000,ON,False,False,False,,True,RECENTLY_SOLD,,,0,M5V1B7,RECENTLY_SOLD,False,False,CONDO,1,,430000,Toronto,600 Fleet St UNIT 232,CAN,CAD,{},
False,,85639866000,,991,2069940188,,False,1300000,1626937200000,ON,False,False,False,,True,RECENTLY_SOLD,,,0,N1S0A8,RECENTLY_SOLD,False,False,SINGLE_FAMILY,4,,1300000,Cambridge,386 Salisbury Ave,CAN,CAD,{},
False,,62052668000,,718,2071870830,,False,430000,1650524400000,ON,False,False,False,,True,RECENTLY_SOLD,,,0,M5V1B7,RECENTLY_SOLD,False,False,CONDO,1,,430000,Toronto,600 Fleet St #409,CAN,CAD,{},
False,-79.419914,80369468000,,930,2068504642,,False,1452000,1632207600000,ON,False,False,False,,True,RECENTLY_SOLD,43.661144,,0,M6G3H2,RECENTLY_SOLD,False,False,SINGLE_FAMILY,1,,1452000,Toronto,429 Montrose Ave,CAN,CAD,{},750
False,,81319868000,,941,2071852833,,False,430000,1631257200000,ON,False,False,False,,True,RECENTLY_SOLD,,,0,M5V1B7,RECENTLY_SOLD,False,False,CONDO,1,,430000,Toronto,600 Fleet St UNIT 232,CAN,CAD,{},
False,,85639868000,,991,2069940188,,False,1300000,1626937200000,ON,False,False,False,,True,RECENTLY_SOLD,,,0,N1S0A8,RECENTLY_SOLD,False,False,SINGLE_FAMILY,4,,1300000,Cambridge,386 Salisbury Ave,CAN,CAD,{},
False,,62052670000,,718,2071870830,,False,430000,1650524400000,ON,False,False,False,,True,RECENTLY_SOLD,,,0,M5V1B7,RECENTLY_SOLD,False,False,CONDO,1,,430000,Toronto,600 Fleet St #409,CAN,CAD,{},
False,-79.419914,80369470000,,930,2068504642,,False,1452000,1632207600000,ON,False,False,False,,True,RECENTLY_SOLD,43.661144,,0,M6G3H2,RECENTLY_SOLD,False,False,SINGLE_FAMILY,1,,1452000,Toronto,429 Montrose Ave,CAN,CAD,{},750
